trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0001,67,eval,0.5263157894736842,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,67,global,,,,0.2743615841052645,-0.018841263800520067,,,,,,,2,0,25,0,0,0.0,0,23,2,27,,0.12507739938080495,12.456053662373924,,,-0.8,1,0.8,1
trial_0001,68,train,,,0.25153894405415717,,,0.07633474596003267,,,0.0,0.0,0.010206644449530398,2,0,26,1,0,0.0,0,23,2,,,,,0.05861802768913355,,,,,
trial_0001,68,eval,0.631578947368421,0.631578947368421,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,68,global,,,,0.27385629468224504,-0.0183359743775006,,,,,,,2,0,26,0,0,0.0,0,24,2,27,,0.12260061919504645,12.044358084002516,,,-0.8,1,0.8,1
trial_0001,69,train,,,0.25154421811408184,,,0.07409995794296263,,,0.0,0.0,0.011702068437614102,2,0,26,0,0,0.0,0,24,2,,,,,0.05154235120466415,,,,,
trial_0001,69,eval,,,,,,,0.631578947368421,1.923080414141479,,,,,,,,,,,,,,,,,,,,,,
trial_0001,69,global,,,,0.2766617302325711,-0.021141409927826687,,,,,,,2,0,26,0,0,0.0,0,24,2,27,,0.12260061919504645,12.577558922546197,,,-0.8,1,0.8,1
trial_0001,70,train,,,0.2515703725053909,,,0.07426573367829019,,,0.0,0.0,0.009347751610132153,2,0,26,0,0,0.0,0,24,2,,,,,0.04800327885301506,,,,,
trial_0001,70,eval,,,,,,,0.6842105263157895,1.765742754857791,,,,,,,,,,,,,,,,,,,,,,
trial_0001,70,global,,,,0.2733452367553238,-0.017824916450579324,,,,,,,2,0,26,0,0,0.0,0,24,2,27,,0.1238390092879257,12.462967098460478,,,-0.8,1,0.8,1
trial_0001,71,train,,,0.25157860840888735,,,0.07263951732757243,,,0.0,0.0,0.009999089130832682,2,0,27,1,0,0.0,0,24,2,,,,,0.04825933701259658,,,,,
trial_0001,71,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,71,global,,,,0.27162232392718705,-0.016102003622442615,,,,,,,2,0,27,0,0,0.0,0,25,2,27,,0.12693498452012383,12.773750352416615,,,-0.8,1,0.8,1
trial_0001,72,train,,,0.25159127661522396,,,0.07328364570090111,,,0.0,0.0,0.008611908989359051,2,0,27,0,0,0.0,0,25,2,,,,,0.049138529119180874,,,,,
trial_0001,72,eval,,,,,,,0.631578947368421,1.8117127077359902,,,,,,,,,,,,,,,,,,,,,,
trial_0001,72,global,,,,0.2723778164501258,-0.016857496145381373,,,,,,,2,0,27,0,0,0.0,0,25,2,27,,0.1256965944272446,12.582051610799027,,,-0.8,1,0.8,1
trial_0001,73,train,,,0.2515843022376933,,,0.07120921193285192,,,0.0,0.0,0.009879555367490654,2,0,27,0,0,0.0,0,25,2,,,,,0.04581344452627162,,,,,
