trial,round,class_id,acc,bwt,forgetting,n
trial_0001,36,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,36,18,0.42424242424242425,-0.030303030303030276,0.5454545454545454,66
trial_0001,36,19,0.36538461538461536,0.36538461538461536,0.17307692307692307,52
trial_0001,36,20,0.22826086956521738,0.22826086956521738,0.1521739130434783,92
trial_0001,36,21,0.10909090909090909,0.10909090909090909,0.0,55
trial_0001,36,22,0.2631578947368421,-0.5789473684210527,0.5789473684210527,57
trial_0001,36,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
trial_0001,36,24,0.1875,0.1875,0.5416666666666666,48
trial_0001,36,25,0.43209876543209874,0.43209876543209874,0.04938271604938271,81
trial_0001,36,26,0.273972602739726,0.273972602739726,0.0684931506849315,73
trial_0001,37,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,37,1,0.0,-0.8,0.8,45
trial_0001,37,2,0.0,0.0,0.0196078431372549,51
trial_0001,37,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,37,4,0.0,0.0,0.46938775510204084,49
trial_0001,37,5,0.0,0.0,0.1320754716981132,53
trial_0001,37,6,0.0,0.0,0.21153846153846154,52
trial_0001,37,7,0.0,0.0,0.017241379310344827,58
trial_0001,37,8,0.0,0.0,0.16129032258064516,62
trial_0001,37,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,37,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,37,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,37,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,37,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,37,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,37,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,37,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,37,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,37,18,0.48484848484848486,0.03030303030303033,0.48484848484848486,66
trial_0001,37,19,0.40384615384615385,0.40384615384615385,0.13461538461538458,52
trial_0001,37,20,0.22826086956521738,0.22826086956521738,0.1521739130434783,92
trial_0001,37,21,0.07272727272727272,0.07272727272727272,0.03636363636363636,55
trial_0001,37,22,0.2631578947368421,-0.5789473684210527,0.5789473684210527,57
trial_0001,37,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
trial_0001,37,24,0.14583333333333334,0.14583333333333334,0.5833333333333333,48
trial_0001,37,25,0.48148148148148145,0.48148148148148145,0.0,81
trial_0001,37,26,0.2465753424657534,0.2465753424657534,0.0958904109589041,73
trial_0001,38,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,38,1,0.0,-0.8,0.8,45
trial_0001,38,2,0.0,0.0,0.0196078431372549,51
trial_0001,38,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,38,4,0.0,0.0,0.46938775510204084,49
trial_0001,38,5,0.0,0.0,0.1320754716981132,53
trial_0001,38,6,0.0,0.0,0.21153846153846154,52
trial_0001,38,7,0.0,0.0,0.017241379310344827,58
trial_0001,38,8,0.0,0.0,0.16129032258064516,62
trial_0001,38,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,38,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,38,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,38,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,38,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,38,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,38,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,38,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,38,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,38,18,0.4696969696969697,0.015151515151515194,0.5,66
trial_0001,38,19,0.36538461538461536,0.36538461538461536,0.17307692307692307,52
trial_0001,38,20,0.2608695652173913,0.2608695652173913,0.11956521739130438,92
trial_0001,38,21,0.12727272727272726,0.12727272727272726,0.0,55
trial_0001,38,22,0.2631578947368421,-0.5789473684210527,0.5789473684210527,57
trial_0001,38,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
